eng_phrase;esp_phrase;rpt_count;timestamp
we accepted the offer;aceptamos la oferta;0;0.0
allow me to open the door;permitame abrir la puerta;0;0.0
what did he ask you;quÇ te pregunt¢;0;0.0
what do you  believe;en quÇ cree;0;0.0
can I borrow this book;puedo pedir prestado este libro;0;0.0
did you break the glass;t£ rompiste el vaso;0;0.0
please bring two pizzas por favor; traiga dos pizzas;0;0.0
she will buy the food;ella comprar† la comida;0;0.0
my friend called me on the phone;mi amiga me llam¢ por telÇfono;0;0.0
i can do it;yo puedo hacerlo;0;0.0
cancel the download;cancela la descarga;0;0.0
let's change directions;cambiemos de direcci¢n;0;0.0
let's clean the house;limpiemos la casa;0;0.0
i am going to complain;me voy a quejar;0;0.0
he really likes to cook;a Çl le gusta mucho cocinar;0;0.0
let's count to five;contemos hasta cinco;0;0.0
cut on the line;corte por la l°nea;0;0.0
we love to dance;nos encanta bailar;0;0.0
Let's draw a picture;Dibujemos un dibujo;0;0.0
You need to drink a lot of water;Necesitas beber mucha agua;0;0.0
What kind of car do you drive?;QuÇ tipo de auto conduces?;0;0.0
He will eat the sandwich;êl comer† el s†ndwich;0;0.0
My dad will explain it;Mi pap† lo explicar†;0;0.0
He started to fall;Se empez¢ a caer;0;0.0
Will you fill the bucket?;Llenar°as el balde?;0;0.0
It's hard to find something small;Es dif°cil encontrar algo peque§o;0;0.0
She was the first to finish;Ella fue la primera en terminar;0;0.0
I think everything will fit;Creo que todo va a caber;0;0.0
With these tools I can fix anything;Con estas herramientas puedo reparar cualquiera cosa;0;0.0
I would love to be able to fly;Me encantar°a poder volar;0;0.0
What did I forget;QuÇ olvidÇ?;0;0.0
He will give the ball to him;êl le dar† el bal¢n;0;0.0
Which way will he go;En quÇ direcci¢n ir†?;0;0.0
Look at what I have;Mira lo que tengo;0;0.0
I can barely hear you;Apenas puedo oirte;0;0.0
